title,description,status,update_log,Resource
TKDK'ye 34 sözleşmeli personel alınacak,Tarım ve Orman Bakanlığı Tarım ve Kırsal Kalkınmayı Destekleme Kurumunca (TKDK) 34 personel istihdam edilecek.,1,X,TRT
Uygulanmakta olan Covid-19 aşılarının kullanım ömrünün bitti,"Pfizer/BioNTech Covid-19 aşı flakonlarının son kullanma tarihi, gerekli tüm güvenlik testleri yapıldıktan sonra üç ay uzatıldı. ",0,√,TeyitOrg-False
Videonun Ukraynalı askerlere makyajla yaralanmış görüntüsü verildiğini gösterdi,"Makyaj sanatçısı tarafından yaralı asker makyajı yapılan askerlerin Ukraynalı olduğunu iddia eden video “Contamin” isimli dizinin setinde çekilmiş.
",0,√,TeyitOrg-False
Rusya'da Babil Kulesi replikası yakılarak yeni dünya düzenine karşı kondu,"Baharın gelişi için kutlanan Slav bayramı Maslenitsa’da, her yıl çeşitli figürler yakılıyor. Mimar Ekaterina Polyakova, insanlar arasındaki anlaşmazlıkları temsil ettiği için Babil Kulesi’ni seçtiğini belirtmiş.",0,√,TeyitOrg-False
Cumhurbaşkanı Erdoğan depremzedeleri hastanede ziyaret etti,"Cumhurbaşkanı Erdoğan, Kahramanmaraş'ta meydana gelen iki depremde yaralanarak Başakşehir Çam ve Sakura Şehir Hastanesi'ne getirilen depremzedeleri ziyaret etti. Cumhurbaşkanı Erdoğan, yeni doğan bebeğin kulağına ezan okuyarak Ayşe Betül ismini verdi.",1,X,TRT
Erdoğan'ın övgülerle anlatıldığı iddia edilen Fransız TV kanalının videosu ,"Video, 2019 tarihli bir mini-belgeselden kırpılmış ve bu belgeselin amacı Erdoğan’ı övmek değil. Belgeselde 2002’den bu yana Erdoğan yönetimi altında yaşananlar anlatılıyor, son yıllarda baskının arttığı ve muhalefetin güçlendiği söyleniyor.  ",0,X,TeyitOrg-False
Cumhurbaşkanı Erdoğan: 2023'ün Türkiye'sinde basın daha özgürdür,"7. Anadolu Medya Ödülleri töreninde konuşan Cumhurbaşkanı Erdoğan, özgür, tarafsız ve halka karşı sorumluluğunu bilen medyanın önemine vurgu yaptı. Basının geçmişe göre daha çok itibar kazandığını ifade eden Erdoğan, ""2023'ün Türkiye'sinde basın, 80'lere 90'lara göre daha özgürdür"" şeklinde konuştu.",1,X,TRT
NASA’nın 2018 AH adlı asteroid hakkında uyarıda bulundu,Asteroid 29 Aralık tarihinde dünya ile Venüs arasından geçecek. Ancak NASA hakkında tehlikeli olduğuna dair herhangi bir açıklama yapmadı.,0,√,TeyitOrg-False
Fotoğrafın dağın üstündeki bulut katmanlarını gösterdi,Japonya’da bulunan Fuji dağının üstündeki bulutlar montajla eklenmiş. Görselin orijinalinde yalnızca en alttaki bulut tabakası var.,0,√,TeyitOrg-False
Danimarkalı kadının evlat edindiği Nijeryalı çocuğun değişimini gösterdiği iddia edilen fotoğraf,İlk iki fotoğraf “cadı olduğu” gerekçesiyle sokağa atılan çocuğu ve onu kurtaran Anja Ringgren Loven isimli yardım çalışanını gösteriyor. Son fotoğraftaki çocuk ise Loven’in biyolojik oğlu.,0,X,TeyitOrg-False
Bakan Bilgin: EYT'nin Mart ayına kadar neticeleneceğini düşünüyorum,"Çalışma ve Sosyal Güvenlik Bakanı Bilgin, EYT düzenlemesi hakkında açıklamalarda bulundu. Bakan Bilgin, ''Mart ayına kadar neticeleneceğini düşünüyorum. Bundan sonraki süreç TBMM'DE işleyecek'' dedi.",1,X,TRT
Cumhurbaşkanı Erdoğan'ın cezalarını kaldırdığı 2 hükümlü tahliye edildi,"Cumhurbaşkanı Erdoğan'ın cezalarının kaldırılmasına karar verdiği, 28 Şubat davasında müebbet hapis cezasına çarptırılan İlhan Kılıç ve Kenan Deniz tahliye edildi.",1,X,TRT
Video Kılıçdaroğlu'nun Çubuk'ta uğradığı saldırıdan sonra söylediklerini göstermiyor,Çubuk'taki cenaze töreni sırasındaki saldırıdan sonra Kemal Kılıçdaroğlu’nun söylediği sözleri içerdiği iddia edilen video sosyal medyada paylaşıldı.,0,X,TeyitOrg-False
Videoda Messi'nin sarıldığı kişinin annesi oldu,Arjantin'in Dünya Kupası'nı kazanması sonrası sosyal medyada paylaşılan bir videoda Messi'ye sarılan kadının annesi olduğu iddia edildi.,0,√,TeyitOrg-False
Videonun Boston Dynamics'in ürettiği yeni robotu gösterdi,"Video, bilgisayar tabanlı video animasyon tekniği olan CGI ile Corridor Crew isimli bir prodüksiyon ekibi tarafından hazırlanmış. ",0,√,TeyitOrg-False
 Fotoğrafın Fransa Cumhurbaşkanı Macron'un yanında çiftleşen köpekleri gösterdi,"Fransa Cumhurbaşkanı Emmanuel Macron ve eşi Brigitte Macron’un yanında çiftleşen köpekleri gösterdiği iddiasıyla paylaşılan görsel montajlanmış. 2018 yılında çekilen fotoğrafın orijinalinde köpekler yok.
",0,√,TeyitOrg-False
23 Şubat 2020 itibariyle Türkiye’de koronavirüs vakası yok,İran'da görülen ilk Covid-19 vakalarının Türkiye'nin alacağı önlemler merak konusu oldu. 23 Şubat itibariyle İran'la olan tüm yol geçişleri durduruldu.,0,X,TeyitOrg-False
Cumhurbaşkanlığı Sözcüsü Kalın'dan John Bolton'a tepki,"Cumhurbaşkanlığı Sözcüsü Kalın, eski ABD Ulusal Güvenlik Danışmanı John Bolton'un seçimle ilgili açıklamalarına tepki gösterdi. Kalın, ""Türk milletinin demokratik iradesini vesayet altına almaya çalışmak beyhude bir çabadır"" şeklinde konuştu.",1,X,TRT
Covid-19 aşısı olanların bir daha kan veremeyecek,"Covid-19 aşısı olanlar kan verebiliyor. Kızılay, aşı olduktan yedi gün sonra semptom göstermeyen kişilerin bağışlarını kabul ediyor. ",0,√,TeyitOrg-False
Twitter hesabının futbolcu Baran Aksaka'ya ait oldu,@Baranaksaka8 isimli Twitter hesabının Baran Aksaka’ya ait olduğu iddia edildi.,0,√,TeyitOrg-False
Adana'da cinsel istismara uğradığı belirtilen kız çocuğunun öldü,"Sosyal medyada ve çeşitli haber sitelerinde, Adana’da S.K. isimli şahsın bir kıza tecavüz etmek isterken suç üstü yakalandığı iddia edildi.",0,√,TeyitOrg-False
Vedat Milor'un Hesap Lütfen kitabının isminin çalıntı oldu,"Milor’un Hesap Lütfen kitabıyla, Ceylan Özge Kunduz ve Elif Yirmibeşoğlu’nun aynı adlı kitabının konuları farklı. “Hesap Lütfen” adıyla yayınlanmış birçok kitap var.",0,√,TeyitOrg-False
Fotoğrafta Fethullah Gülen’in yanındaki kişi Sanayi ve Teknoloji Bakanı Mustafa Varank mı?,"Sosyal medyada paylaşılan fotoğrafta, Fethullah Gülen’in yanında bulunan kaftanlı kişinin, Sanayi ve Teknoloji Bakanı Mustafa Varank olduğu iddia edildi.",0,X,TeyitOrg-False
Deprem bölgesinde hayvancılığa destek hazırlığı,"Cumhurbaşkanı Recep Tayyip Erdoğan'ın, ""Depremde hayvanları telef olan çiftçilerimizin kayıplarını inekse inek, koyunsa koyun, tavuksa tavuk, arıysa arı olarak tekrar bedelsiz yerine koyacağız."" açıklamasının ardından afet bölgesindeki hayvan yetiştiricileri ""telafi desteği"" kapsamında atılacak adımları bekliyor.",1,X,TRT
Roman vatandaşlara yönelik eylem planı Resmi Gazete'de,"Cumhurbaşkanı Recep Tayyip Erdoğan, ""Roman Vatandaşlara Yönelik Strateji Belgesi (2023-2030) ve I. Aşama Eylem Planı (2023-2025)"" ile ilgili genelge yayımladı.",1,X,TRT
Fotoğrafın Türkiye’nin Washington Büyükelçiliği’nde çekildi,1934-1944 yılları arasında Amerikalı caz sanatçıları Washington'daki Türk elçiliğinde pazarları bir araya geliyordu. Fotoğraf bu buluşmalardan birinde William Gottlieb tarafından çekilmiş. ,1,√,TeyitOrg-True
TSK'nın ağır nakliye helikopterleri de deprem bölgesine gidiyor,"Kara Kuvvetleri Komutanlığı'nın CH-47 tipi ağır nakliye helikopteri, deprem bölgesindeki çalışmalara destek vermek için Ankara'dan havalandı.",1,X,TRT
AFAD: 36 bin 187 kişi hayatını kaybetti,"AFAD, Kahramanmaraş merkezli depremlerde 36 bin 187 kişinin hayatını kaybettiğini açıkladı.",1,X,TRT
İki kıtanın en kısa yolu Avrasya Tüneli,"Milyonlarca yıllık yeryüzü tabakası delindi, yerin 106,4 metre altında yüksek basınçla mücadele edildi… Tek bir amaç vardı, kronikleşen İstanbul trafiğine nefes aldırmak. 6 yıldır iki kıta arasında hizmet veren Avrasya Tüneli'nden 97 milyon araç geçti.",1,X,TRT
Cumhurbaşkanı Erdoğan ve Bahçeli deprem bölgesinde,"Cumhurbaşkanı Recep Tayyip Erdoğan, Kahramanmaraş merkezli depremlerden etkilenen bölgelerde incelemelerde bulunmak üzere Osmaniye'ye geldi.",1,X,TRT
DSÖ’nün aynı kişiye farklı aşılar uygulanmasının tehlikeli olduğunu açıkladı,"Dünya Sağlık Örgütü yetkilisinin Temmuz ayında yaptığı farklı aşılara dair açıklaması, durumun tehlikesine değil, kararın bireylere bırakılmaması gerektiğine dikkat çekiyor.
",0,√,TeyitOrg-False
Tarımsal destek ödemeleri hesaplara aktarıldı,"Tarım ve Orman Bakanı Kirişci, 972 milyon 333 bin liralık tarımsal destek ödemelerinin hesaplara aktarıldığını açıkladı.",1,X,TRT
Cumhurbaşkanı Erdoğan'ın Bursa mitingindeki kalabalığa “Sakarya” diye seslendi,"Sosyal medyada paylaşılan ve teyit.org’a ihbar olarak gönderilen bir videoda, Cumhurbaşkanı Recep Tayyip Erdoğan’ın 11 Haziran 2018’de gerçekleştirilen Bursa mitinginin sonunda kalabalığa, “Sakarya” diye seslendiği iddia edildi.",0,√,TeyitOrg-False
Adalar'da faytonların kaldırıldığını açıklayan hesap Erdem Gül'e ait değil,"AdalarErdemGul isimli kullanıcı tarafından yapılan bir paylaşımda, İstanbul’un Adalar ilçesinde faytonların faaliyetlerine son verildiği iddia edildi.",0,X,TeyitOrg-False
1969’da basılan 10 bin doların üzerinde “Hail Satan” yazdı,1969’da basıldığı belirtilen 10 bin doların üzerinde “Hail Satan” yazdığı iddia edildi.,0,√,TeyitOrg-False
"Cumhurbaşkanı Erdoğan, Volodin'i kabul etti","Cumhurbaşkanı Recep Tayyip Erdoğan, Rusya Federasyonu Federal Meclisi Devlet Duması Başkanı Vyacheslav Volodin ile görüştü.",1,X,TRT
Fotoğrafın Ankara Keçiören Eğitim Araştırma Hastanesi’nden oldu,"Bir hastanenin acil müdahale servisini gösteren fotoğraf 21 Eylül’de Ankara Keçiören’de değil, 2018 yılında ABD’de kaydedildi.  ",0,√,TeyitOrg-False
Tahıl koridorundan taşınan yük miktarı 15 milyon tonu geçti,"Ulaştırma ve Altyapı Bakanı Adil Karaismailoğlu, Tahıl Koridoru kapsamında ağustos ayından bu yana 585 geminin Ukrayna limanlarından hareket ettiğini açıkladı. Karaismailoğlu, “Bugüne kadar taşınan toplam yük miktarı 15 milyon 80 bin tonu aştı. Türkiye limanlarına gelen gemilerin taşıdığı toplam yük ise 2 milyon 247 bin 564 ton oldu” dedi.",1,X,TRT
Fotoğraftaki kişinin Mersin saldırısını düzenlediği belirtilen Dilşah Ercan olduğu ,Fotoğraftaki kişi örgüt üyeliğinden tutuklu bulunan gazeteci Erdal Süsem'in eşi Eylem Süsem.,0,√,TeyitOrg-False
Fotoğraflar Kaz Dağları'ndaki protestocuların attığı çöpleri göstermiyor,"Sosyal medyada paylaşılan iki fotoğrafın Kaz Dağları'nda gerçekleşen ""Su ve Vicdan Nöbeti"" sırasında protestocuların attığı çöpleri gösterdiği iddia edildi.",0,X,TeyitOrg-False
Fotoğrafın 2020 yılında İstanbul’da çekildi,"Çarşaflı kadınların göründüğü fotoğraf 2020’de İstanbul’da değil, 2018’de Endonezya’da yatılı kuran kursunda kaydedildi. ",0,√,TeyitOrg-False
"Cumhurbaşkanı Erdoğan, belediye başkanlarından bilgi aldı","Cumhurbaşkanı Recep Tayyip Erdoğan, Kahramanmaraş merkezli deprem nedeniyle, Adana, Osmaniye ve Kilis belediye başkanları ile Kilis Valisi Recep Soytürk'ü arayarak bilgi aldı.",1,X,TRT
Fırat Kalkanı bölgesinde bir asker şehit oldu,"Milli Savunma Bakanlığı, Fırat Kalkanı Harekatı bölgesinde bölücü terör örgütü mensuplarınca açılan taciz ateşi sonucu yaralanan Tankçı Uzman Çavuş Selçuk Kurt'un şehit olduğunu açıkladı.",1,X,TRT
"Hazine ve Maliye Bakanı Nebati, Brüksel'e gidecek","Hazine ve Maliye Bakanı Nureddin Nebati, 25-26 Ocak'ta Belçika’nın başkenti Brüksel'de temaslarda bulunacak.",1,X,TRT
"Cumhurbaşkanı Erdoğan, Muğla'da Soğancı ailesinin evine konuk oldu","Cumhurbaşkanı Recep Tayyip Erdoğan, Muğla'da toplu açılış töreninin ardından kendisini davet eden 19 yaşındaki genç kızın ailesinin evine konuk oldu.",1,X,TRT
Palandöken'de yapımı süren nikah sarayının 22 milyon TL maliyeti oldu,Sosyal medyada paylaşılan bir görselin Palandöken ilçesinde inşa edilmekte olan 22 milyon TL maliyetli bir nikah sarayını gösterdiği iddia edildi.,1,√,TeyitOrg-True
Yeni yasaya göre iki yıl milletvekilliği yapanların emekli sayıldı,"Sosyal medyada yer alan paylaşımda, yeni çıkan bir yasaya göre 2 yıl milletvekilliği yapanın emekli sayılacağı iddia edildi.",0,√,TeyitOrg-False
Doğalgazın metreküp fiyatına yüzde 84 zam yapıldı,"Yeni yılda doğalgazın metreküp fiyatına yüzde 84 zam yapıldığı iddia edildi.
",0,√,TeyitOrg-False
Bakan Varank: Türkiye'nin ilk hidrojen vadisi projesini hayata geçiriyoruz,"Sanayi ve Teknoloji Bakanı Mustafa Varank, Türkiye'nin ilk hidrojen vadisi projesini Balıkesir'de hayata geçireceklerini belirterek, ""Bu projeyle yenilenebilir enerji kurulu gücünde lider olan Güney Marmara bölgesinde hidrojen ekonomisini farklı bir boyutta yeşertmiş olacağız"" dedi.",1,X,TRT
Fotoğrafın Seine Nehri üzerinde eylem yapan 'Sarı Yeleklileri' gösterdi,Fotoğraflar Uluslararası Yat Fuarı etkinlikleri çerçevesinde Seine Nehri üzerindeki kürek yarışmasını gösteriyor. ,0,√,TeyitOrg-False
Riskli yapıdaki kusuru gidermeyen müteahhit dava edilebiliyor,"Depreme dayanıklılık testi sonucu riskli olduğu ortaya çıkan binalarda yaşayanlar, müteahhitten eksikliğin giderilmesini talep edebiliyor. Müteahhit konuttaki kusuru gidermezse daire sahipleri için yargı yolu açılıyor.",1,X,TRT
15 Temmuz'da jetlere atlamaya çalışan Resul K.,"15 Temmuz darbe girişimi sırasında bir kişinin Kızılay'da alçak uçuş yapan jete atlamaya çalıştığı, yapamayınca cisim fırlattığı iddia edildi.",0,√,TeyitOrg-False
Asgari ücret desteği 400 lira oldu,"Cumhurbaşkanı Erdoğan, 250 liraya çıkarılan asgari ücret desteğini 400 liraya yükseltme kararı aldıklarını açıkladı.",1,X,TRT
Dışişleri Bakanlığı'ndan ABD ve Avrupa'ya seyahat uyarısı,"Dışişleri Bakanlığı, ABD ve Avrupa ülkeleri için seyahat uyarısı yayınlayarak, yabancı karşıtı ve ırkçı nitelikte saldırılar ile dini hoşgörüsüzlüğe dikkati çekti.",1,X,TRT
Depremlerde can kaybı 5 bin 434'e yükseldi,"Sağlık Bakanı Koca, Kahramanmaraş merkezli depremlerde 5 bin 434 kişinin hayatını kaybettiğini, 31 bin 777 kişinin yaralandığını açıkladı.",1,X,TRT
"Yargıtay üyesi Serdar Mutta, YSK üyeliğine seçildi","Yargıtay 12. Hukuk Dairesi üyesi Serdar Mutta, Yargıtay'dan Yüksek Seçim Kurulu (YSK) üyeliğine seçilen üçüncü isim oldu.",1,X,TRT
Videonun İsrail askeri üssünde çıkan yangını gösterdi,Sosyal medyada paylaşılan bir videoyla Tel Aviv’deki bir İsrail askeri üssünde yangın çıktığı ve mühimmatların patladığı iddia edildi.,0,√,TeyitOrg-False
Faturanın Konya'da yaşayan Suriyelinin sudan bedava yararlandığını gösterdi,"Fatura, Konya Büyükşehir Belediyesi KOSKİ Genel Müdürlüğü’nce belirlenmiş 10-12 TL’lik limitin altında olduğu için “0 TL” olarak fiyatlandırılmış.",0,√,TeyitOrg-False
HDP seçimde kazandığı Kızıltepe Belediyesinin binasından Türk bayrağını indirmedi,31 Mart 2019'da Mardin Kızıltepe belediye başkanı seçilen Nilüfer Elik Yılmaz’ın kayyum belediye başkanının astırdığı Türk bayrağını indirdiği iddia edildi.,0,X,TeyitOrg-False
NEJM'de yayınladığı iddia edilen Türkiye'nin koronavirüs raporu,New England Journal of Medicine’da yayımlanan ve 125 hastaneden 174 hekimin imzasını taşıyan raporun Türkiye’de salgını anlattığı öne sürüldü.,0,X,TeyitOrg-False
Fotoğrafta Akar'ın yanındaki kişi Kılıçdaroğlu'na saldıran Sarıgün değil,"Fotoğrafta Milli Savunma Bakanı Hulusi Akar’ın yanında oturan kişinin, Kemal Kılıçdaroğlu’na saldıran Osman Sarıgün olduğu iddia edildi.",0,X,TeyitOrg-False
Videonun Karabağ’dan kaçan Ermenileri gösterdi,"Melih Gökçek’in Karabağ’dan kaçan Ermenileri taşıyan arabaları gösterdiği iddiasıyla paylaştığı video, aslında Suudi Arabistan’da çekilmiş.",0,√,TeyitOrg-False
Hastanelerde 759 çocuğun tedavisi sürüyor,"Aile ve Sosyal Hizmetler Bakanlığı, Kahramanmaraş merkezli depremlerden etkilenen refakatçisi olmayan 1464, tedavisi devam eden 759 çocuğun olduğunu açıkladı.",1,X,TRT
Bakanlık'tan depremzede çocuklarla ilgili açıklama,"Aile ve Sosyal Hizmetler Bakanlığı, enkaz altından çıkarılmış refakatçisi olmayan 1589, hastanede tedavisi devam eden 556 çocuğun olduğunu belirtti.",1,X,TRT
Videonun can simidiyle uçan kişiyi gösterdi,"Su parkındaki kişinin uçtuğunu gösteren videonun bir kısmı Simon adlı bir görsel efekt sanatçısı tarafından montajlanmış.

",0,√,TeyitOrg-False
MSB'den terörle mücadelede kararlılık mesajı,"Milli Savunma Bakanlığı (MSB), milletin huzur ve güvenliği için görev yapan tüm güvenlik birimlerinin, terör örgütlerine karşı omuz omuza mücadeleye kararlılıkla devam edeceklerini aktardı.",1,X,TRT
Google'da Ekrem İmamoğlu'nun eski belediye başkanı olarak görüldü,Google arama sonuçlarında Ekrem İmamoğlu'nun eski belediye başkanı olarak görüldüğü iddia edildi. ,1,√,TeyitOrg-True
"BİM, A101 ve Şok marketlerin kalıcı olarak kapandı","Ticaret Bakanlığı’nın tedarik ve dağıtım kooperatifi düzenlemesi,  zincir mağazalarla rekabette zorlanan esnafın desteklenmesini amaçlıyor. Zincir marketlerin açılışı, faaliyeti gibi düzenlemeler bu kapsamda değil.",0,√,TeyitOrg-False
Fotoğrafın Saadet Partisi Genel Başkanı Temel Karamollaoğlu'nu rakı içerken gösterdi,Sosyal medyada paylaşılan bir fotoğrafın Saadet Partisi Genel Başkanı Temel Karamollaoğlu’nu rakı içerken gösterdiği iddia edildi.,0,√,TeyitOrg-False
Angela Merkel’in Adolf Hitler’in kızı oldu,"Angela Merkel, Adolf Hitler’in kızı olamaz. Çünkü Merkel, Hitler’in ölümünden dokuz yıl sonra, 1954 yılında doğdu.",0,√,TeyitOrg-False
"Cumhurbaşkanı Erdoğan, Belçika’daki Türklere telefonla hitap etti","Cumhurbaşkanı Recep Tayyip Erdoğan, Avrupa'daki Türklere seslenerek, ""İnşallah 14 Mayıs bizim için yeniden sandıkların patlatıldığı bir uyanış olacak ve Avrupa da buna en güzel cevabı verecek"" dedi.",1,X,TRT
Bakan Kurum: Gaziantep'te 900 enkazın tamamında arama kurtarma faaliyeti yürütülmekte,"Depremin Gaziantep merkezde, Nurdağı'nda ve İslahiye'de yoğun şekilde hissedildiğini belirten Çevre, Şehircilik ve İklim Değişikliği Bakanı Kurum, ""Bütün ilçelerimizde 900 enkazın tamamında arama kurtarma faaliyeti yürütülmekte"" dedi",1,X,TRT
Yangında hayatını kaybeden anne kuş fotoğrafının Türkiye'den oldu,"Fotoğraf Türkiye'de değil, 2020 yılında İran’da meydana gelen bir yangından sonra kaydedilmiş.",0,√,TeyitOrg-False
Kabe’nin güvenliğinin İsrailli bir şirket tarafından sağlandı,Sosyal medyada paylaşılan ve Teyit’e ihbar olarak gönderilen tweette Kabe’nin güvenliğinin İsrailli bir şirket tarafından sağlandığı iddia edildi.,0,√,TeyitOrg-False
6'lı masa 11'inci toplantısını yaptı,"6'lı masa 11'inci toplantısını İyi Parti'nin ev sahipliğinde gerçekleştirdi. Toplantı sonrası paylaşılan ortak bildiride ""Cumhurbaşkanı adayının nasıl belirleneceği konuşuldu"" denildi.",1,X,TRT
Çin’de bir metro istasyonunda zombilerin görüldü,TikTok'ta viral hale gelen video Endonezya'da eğlence amacıyla yapılan bir tren yolculuğunu gösteriyor.,0,√,TeyitOrg-False
Kümbetin arkasına öğrenci yurdu yapıldı,"2014'ten bu yana sosyal medyada dolaşan bir fotoğrafla, Van'daki bir kümbetin hemen arkasına öğrenci yurdu yapıldığı iddia ediliyor.",1,√,TeyitOrg-True
NATO Genel Sekreteri’nin Rusya Ukrayna çatışmasıyla ilgili “Yüzyılın en büyük savaşı olacak” dedi,"NATO Genel Sekreteri’ne ait olduğu iddia edilen sözler, BM Genel Sekreteri’ne ait ve yanlış çevrilmiş. ",0,√,TeyitOrg-False
